id,text,module,section
UAV-00001,The flare logic shall capture the approach speed to 120 meters per second.,Autoland,Automatic Landing
UAV-00002,The geofence monitor shall command waypoint acceptance for the operating area.,Geofence,Geofencing and Airspace
UAV-00003,The flight control law shall limit the load factor to 95 g.,FlightControl,Stability and Control
UAV-00004,The imaging sensor shall tag the camera line of sight to 3 degrees per second.,Payload,Payload and Imaging
UAV-00005,The fuel system shall estimate the consumption total within 5 percent.,Fuel,Fuel Management
UAV-00006,The mission manager shall report the uploaded mission plan before storing.,Mission,Mission Management
UAV-00007,The landing sequencer shall deploy the approach speed to 2 meters per second.,Autoland,Automatic Landing
UAV-00008,The bus controller shall protect the state of charge at 5 Hz.,Power,Electrical Power
UAV-00009,The flare logic shall reduce the landing gear to 20 meters per second.,Autoland,Automatic Landing
UAV-00010,The optical head shall capture the gimbal slew rate before landing.,Payload,Payload and Imaging
UAV-00011,The bus controller shall balance the avionics bus below 24 volts.,Power,Electrical Power
UAV-00012,The transfer pump shall monitor the center of gravity within 50 percent.,Fuel,Fuel Management
UAV-00013,The operator display shall annunciate the displayed clock with an acknowledgement.,GroundStation,Ground Control Interface
UAV-00014,The tank selector shall estimate the center of gravity to keep CG in limits.,Fuel,Fuel Management
UAV-00015,The waypoint validator shall reject the upload buffer after a manual override.,Mission,Mission Management
UAV-00016,The telemetry encoder shall prioritize the onboard log to non-volatile storage.,Telemetry,Telemetry and Logging
UAV-00017,The operator display shall present the active mission plan from an authenticated console.,GroundStation,Ground Control Interface
UAV-00018,The gimbal stabilizer shall slew the captured image when battery is low.,Payload,Payload and Imaging
UAV-00019,The airspace manager shall limit a corrective maneuver when the boundary is crossed.,Geofence,Geofencing and Airspace
UAV-00020,The command console shall display safety-critical commands with an acknowledgement.,GroundStation,Ground Control Interface
UAV-00021,The flight plan store shall store the waypoint count when the limit is exceeded.,Mission,Mission Management
UAV-00022,The telemetry encoder shall compress the frame sequence number to non-volatile storage.,Telemetry,Telemetry and Logging
UAV-00023,The containment module shall report the geofence boundary on a hard limit.,Geofence,Geofencing and Airspace
UAV-00024,The altitude limiter shall limit the distance to the edge when the boundary is crossed.,Geofence,Geofencing and Airspace
UAV-00025,The primary radio shall maintain the received signal strength after a signal dropout.,Datalink,Communications Link
UAV-00026,The key manager shall authenticate the command timer before execution.,Security,Command Authentication
UAV-00027,The status reporter shall detect the vehicle health status at startup.,Health,Health Monitoring
UAV-00028,The fence enforcer shall maintain waypoint acceptance of 85 meters.,Geofence,Geofencing and Airspace
UAV-00029,The flight control law shall deflect the elevator as a function of airspeed.,FlightControl,Stability and Control
UAV-00030,The contingency handler shall inhibit a controlled descent when propulsion is lost.,Failsafe,Emergency and Failsafe
UAV-00031,The thermal manager shall raise an over-temperature warning at 5 Hz.,Thermal,Thermal Management
UAV-00032,The security monitor shall decrypt the command timer when the link is unsecured.,Security,Command Authentication
UAV-00033,The ground control station shall display the active mission plan to the vehicle time.,GroundStation,Ground Control Interface
UAV-00034,The boundary checker shall prevent a corrective maneuver for the operating area.,Geofence,Geofencing and Airspace
UAV-00035,The quantity gauge shall isolate the endurance estimate within 10 percent.,Fuel,Fuel Management
UAV-00036,The waypoint validator shall preserve the waypoint count after a manual override.,Mission,Mission Management
UAV-00037,The electronic speed controller shall limit the engine RPM under load.,Propulsion,Engine and Thrust
UAV-00038,The fence enforcer shall enforce the airspace boundaries during all flight phases.,Geofence,Geofencing and Airspace
UAV-00039,The bus controller shall estimate the remaining flight time when charge drops below 20 percent.,Power,Electrical Power
UAV-00040,The payload controller shall slew the payload power at the commanded rate.,Payload,Payload and Imaging
UAV-00041,The secondary radio shall detect the bit error rate from the channel plan.,Datalink,Communications Link
UAV-00042,The touchdown monitor shall command the landing gear to 120 meters per second.,Autoland,Automatic Landing
UAV-00043,The flight plan store shall preserve mission progress when the limit is exceeded.,Mission,Mission Management
UAV-00044,The optical head shall capture imagery to 5 degrees per second.,Payload,Payload and Imaging
UAV-00045,The contingency handler shall execute a controlled descent after 200 milliseconds without uplink.,Failsafe,Emergency and Failsafe
UAV-00046,The operator display shall log command entry to the vehicle time.,GroundStation,Ground Control Interface
UAV-00047,The GPS receiver shall compute the inertial drift within 20 meters CEP.,Navigation,Position Estimation
UAV-00048,The touchdown monitor shall disarm the flare maneuver on the approach path.,Autoland,Automatic Landing
UAV-00049,The command console shall present the displayed clock from an authenticated console.,GroundStation,Ground Control Interface
UAV-00050,The flow sensor shall monitor the endurance estimate between tanks.,Fuel,Fuel Management
UAV-00051,The flight plan store shall reject the uploaded mission plan after a manual override.,Mission,Mission Management
UAV-00052,The distribution board shall switch the backup battery at 10 Hz.,Power,Electrical Power
UAV-00053,The motor governor shall limit the thrust setpoint at 20 Hz.,Propulsion,Engine and Thrust
UAV-00054,The navigation filter shall output the position uncertainty within 50 meters CEP.,Navigation,Position Estimation
UAV-00055,The battery monitor shall estimate the avionics bus when charge drops below 2 percent.,Power,Electrical Power
UAV-00056,The contingency handler shall enter the contingency plan on loss of link.,Failsafe,Emergency and Failsafe
UAV-00057,The frame assembler shall assemble the vehicle state with the mission clock.,Telemetry,Telemetry and Logging
UAV-00058,The link-loss handler shall enter the contingency plan when propulsion is lost.,Failsafe,Emergency and Failsafe
UAV-00059,The downlink formatter shall prioritize critical status fields with the mission clock.,Telemetry,Telemetry and Logging
UAV-00060,The failsafe manager shall transition return-to-home on loss of link.,Failsafe,Emergency and Failsafe
UAV-00061,The flight data recorder shall prioritize the telemetry frame with the mission clock.,Telemetry,Telemetry and Logging
UAV-00062,The GPS receiver shall propagate the GPS fix quality in the WGS84 reference frame.,Navigation,Position Estimation
UAV-00063,The link monitor shall throttle the operating frequency after a signal dropout.,Datalink,Communications Link
UAV-00064,The access controller shall rotate a replayed sequence counter within 200 milliseconds.,Security,Command Authentication
UAV-00065,The flare logic shall disarm a go-around to 70 meters per second.,Autoland,Automatic Landing
UAV-00066,The boundary checker shall report the geofence boundary during all flight phases.,Geofence,Geofencing and Airspace
UAV-00067,The inertial navigation unit shall estimate the ground velocity at 4 Hz.,Navigation,Position Estimation
UAV-00068,The temperature monitor shall command an over-temperature warning within the qualified range.,Thermal,Thermal Management
UAV-00069,The electronic speed controller shall regulate the controller temperature during high-thrust phases.,Propulsion,Engine and Thrust
UAV-00070,The security monitor shall rotate an unauthenticated command when the link is unsecured.,Security,Command Authentication
UAV-00071,The glideslope tracker shall execute the flare maneuver at the decision height.,Autoland,Automatic Landing
UAV-00072,The telemetry encoder shall downlink full-rate flight data with the mission clock.,Telemetry,Telemetry and Logging
UAV-00073,The telemetry encoder shall prioritize the vehicle state when bandwidth is limited.,Telemetry,Telemetry and Logging
UAV-00074,The moving-map view shall accept the displayed clock on the operator display.,GroundStation,Ground Control Interface
UAV-00075,The fuel system shall monitor the tank balance when reserve is reached.,Fuel,Fuel Management
UAV-00076,The touchdown monitor shall limit the sink rate to 2 meters per second.,Autoland,Automatic Landing
UAV-00077,The mission manager shall validate the mission phases on operator command.,Mission,Mission Management
UAV-00078,The quantity gauge shall report the tank balance to keep CG in limits.,Fuel,Fuel Management
UAV-00079,The transfer pump shall estimate a fuel leak when reserve is reached.,Fuel,Fuel Management
UAV-00080,The gimbal stabilizer shall command the captured image with position metadata.,Payload,Payload and Imaging
UAV-00081,The electronic speed controller shall report the engine RPM within 15 percent.,Propulsion,Engine and Thrust
UAV-00082,The alert manager shall present command entry in priority order.,GroundStation,Ground Control Interface
UAV-00083,The glideslope tracker shall command a go-around on the approach path.,Autoland,Automatic Landing
UAV-00084,The command authenticator shall decrypt the message integrity after 30 messages.,Security,Command Authentication
UAV-00085,The access controller shall authenticate the session key before execution.,Security,Command Authentication
UAV-00086,The telemetry encoder shall record the telemetry frame to non-volatile storage.,Telemetry,Telemetry and Logging
UAV-00087,The battery monitor shall shed the cell balance when charge drops below 15 percent.,Power,Electrical Power
UAV-00088,The cooling controller shall derate the battery heater during sustained load.,Thermal,Thermal Management
UAV-00089,The fuel system shall balance the endurance estimate within 20 percent.,Fuel,Fuel Management
UAV-00090,The geofence monitor shall load the airspace boundaries during all flight phases.,Geofence,Geofencing and Airspace
UAV-00091,The navigation filter shall estimate the GPS fix quality across the flight envelope.,Navigation,Position Estimation
UAV-00092,The payload controller shall stabilize the operator pointing angle when battery is low.,Payload,Payload and Imaging
UAV-00093,The touchdown monitor shall deploy the sink rate when criteria are not met.,Autoland,Automatic Landing
UAV-00094,The link-loss handler shall annunciate the contingency plan through a reset.,Failsafe,Emergency and Failsafe
UAV-00095,The status reporter shall inhibit the diagnostic log within each control frame.,Health,Health Monitoring
UAV-00096,The stability augmenter shall revert a degraded control mode to 15 g.,FlightControl,Stability and Control
UAV-00097,The primary radio shall switch a loss of link with the ground station.,Datalink,Communications Link
UAV-00098,The gimbal stabilizer shall limit the operator pointing angle against airframe motion.,Payload,Payload and Imaging
UAV-00099,The bus controller shall switch the non-essential loads to the backup source.,Power,Electrical Power
UAV-00100,The fence enforcer shall command the geofence boundary of 30 meters.,Geofence,Geofencing and Airspace
UAV-00101,The mission sequencer shall preserve the uploaded mission plan before storing.,Mission,Mission Management
UAV-00102,The cooling fan shall raise propulsion output at 200 Hz.,Thermal,Thermal Management
UAV-00103,The navigation filter shall output the inertial drift in the WGS84 reference frame.,Navigation,Position Estimation
UAV-00104,The navigation filter shall update the aircraft position without operator input.,Navigation,Position Estimation
UAV-00105,The fence enforcer shall raise a safety buffer on a hard limit.,Geofence,Geofencing and Airspace
UAV-00106,The fuel system shall transfer the endurance estimate during cruise.,Fuel,Fuel Management
UAV-00107,The health monitor shall isolate a failed sensor during flight.,Health,Health Monitoring
UAV-00108,The containment module shall command the geofence boundary of 15 meters.,Geofence,Geofencing and Airspace
UAV-00109,The mission manager shall abort the uploaded mission plan after a manual override.,Mission,Mission Management
UAV-00110,The key manager shall authenticate the session key with a keyed checksum.,Security,Command Authentication
UAV-00111,The boundary checker shall prevent the altitude ceiling during all flight phases.,Geofence,Geofencing and Airspace
UAV-00112,The autoland controller shall limit the sink rate on the approach path.,Autoland,Automatic Landing
UAV-00113,The altitude limiter shall raise a safety buffer during all flight phases.,Geofence,Geofencing and Airspace
UAV-00114,The containment module shall load a safety buffer near a no-fly zone.,Geofence,Geofencing and Airspace
UAV-00115,The approach manager shall reduce the landing gear during crosswind.,Autoland,Automatic Landing
UAV-00116,The waypoint validator shall abort the current waypoint across power cycles.,Mission,Mission Management
UAV-00117,The fence enforcer shall report the geofence boundary near a no-fly zone.,Geofence,Geofencing and Airspace
UAV-00118,The containment module shall report the altitude ceiling on a hard limit.,Geofence,Geofencing and Airspace
UAV-00119,The link-loss handler shall inhibit the active failsafe mode when propulsion is lost.,Failsafe,Emergency and Failsafe
UAV-00120,The safe-state monitor shall preserve the active failsafe mode during recovery.,Failsafe,Emergency and Failsafe
