id,text,module,section
UAV-00001,The geofence monitor shall enforce the airspace boundaries of 10 meters.,Geofence,Geofencing and Airspace
UAV-00002,The downlink formatter shall flush each record with the mission clock.,Telemetry,Telemetry and Logging
UAV-00003,The charge estimator shall switch the cell balance below 22 volts.,Power,Electrical Power
UAV-00004,The navigation processor shall estimate the inertial drift during GPS outages.,Navigation,Position Estimation
UAV-00005,The flight plan store shall sequence the mission phases on operator command.,Mission,Mission Management
UAV-00006,The surface controller shall hold the rudder to coordinate turns.,FlightControl,Stability and Control
UAV-00007,The operator display shall log the displayed clock on the moving map.,GroundStation,Ground Control Interface
UAV-00008,The navigation processor shall monitor the track angle during GPS outages.,Navigation,Position Estimation
UAV-00009,The gimbal stabilizer shall capture the camera line of sight before landing.,Payload,Payload and Imaging
UAV-00010,The airspace manager shall raise the airspace boundaries of 120 meters.,Geofence,Geofencing and Airspace
UAV-00011,The cryptographic module shall authenticate the session key on repeated failures.,Security,Command Authentication
UAV-00012,The mission manager shall preserve the upload buffer before storing.,Mission,Mission Management
UAV-00013,The propulsion controller shall monitor the overspeed condition no faster than 70 percent per second.,Propulsion,Engine and Thrust
UAV-00014,The approach manager shall capture the sink rate when criteria are not met.,Autoland,Automatic Landing
UAV-00015,The landing sequencer shall limit a go-around to 10 meters per second.,Autoland,Automatic Landing
UAV-00016,The flight plan store shall validate the current waypoint before storing.,Mission,Mission Management
UAV-00017,The GPS receiver shall update the navigation solution across the flight envelope.,Navigation,Position Estimation
UAV-00018,The flight plan store shall store the mission-ready flag before storing.,Mission,Mission Management
UAV-00019,The propulsion controller shall monitor the thrust setpoint during high-thrust phases.,Propulsion,Engine and Thrust
UAV-00020,The datalink manager shall maintain a loss of link at 4 Hz.,Datalink,Communications Link
UAV-00021,The command authenticator shall rotate a replayed sequence counter after 3 messages.,Security,Command Authentication
UAV-00022,The storage controller shall compress the storage remaining with the mission clock.,Telemetry,Telemetry and Logging
UAV-00023,The surface controller shall limit the elevator at 4 Hz.,FlightControl,Stability and Control
UAV-00024,The transfer pump shall monitor the fuel flow rate within 120 percent.,Fuel,Fuel Management
UAV-00025,The fault manager shall record the fault code before takeoff.,Health,Health Monitoring
UAV-00026,The datalink manager shall maintain the available bandwidth at 10 Hz.,Datalink,Communications Link
UAV-00027,The log manager shall report full-rate flight data before shutdown.,Telemetry,Telemetry and Logging
UAV-00028,The GPS receiver shall validate the track angle during GPS outages.,Navigation,Position Estimation
UAV-00029,The approach manager shall limit propulsion after touchdown during crosswind.,Autoland,Automatic Landing
UAV-00030,The fault manager shall inhibit the vehicle health status to the ground station.,Health,Health Monitoring
UAV-00031,The flight control law shall stabilize the roll-rate command to coordinate turns.,FlightControl,Stability and Control
UAV-00032,The dead-reckoning module shall propagate the navigation solution at 1 Hz.,Navigation,Position Estimation
UAV-00033,The route planner shall sequence the active mission from takeoff to recovery.,Mission,Mission Management
UAV-00034,The mission sequencer shall report the upload buffer before storing.,Mission,Mission Management
UAV-00035,The inertial navigation unit shall validate the position uncertainty during GPS outages.,Navigation,Position Estimation
UAV-00036,The command console shall synchronize the active mission plan on the operator display.,GroundStation,Ground Control Interface
UAV-00037,The message validator shall deny the session key with a keyed checksum.,Security,Command Authentication
UAV-00038,The bay heater shall throttle the battery heater above 30 degrees Celsius.,Thermal,Thermal Management
UAV-00039,The bus controller shall monitor the backup battery across both buses.,Power,Electrical Power
UAV-00040,The route planner shall resume the current waypoint after a manual override.,Mission,Mission Management
UAV-00041,The status reporter shall record the vehicle health status within each control frame.,Health,Health Monitoring
UAV-00042,The telemetry encoder shall compress each record when bandwidth is limited.,Telemetry,Telemetry and Logging
UAV-00043,The upload handler shall resume mission progress across power cycles.,Mission,Mission Management
UAV-00044,The imaging sensor shall tag the payload power before landing.,Payload,Payload and Imaging
UAV-00045,The landing sequencer shall execute the sink rate before the flare.,Autoland,Automatic Landing
UAV-00046,The temperature monitor shall energize active cooling during sustained load.,Thermal,Thermal Management
UAV-00047,The airspace manager shall maintain waypoint acceptance during all flight phases.,Geofence,Geofencing and Airspace
UAV-00048,The health monitor shall isolate the diagnostic log before takeoff.,Health,Health Monitoring
UAV-00049,The landing sequencer shall command the flare maneuver on the approach path.,Autoland,Automatic Landing
UAV-00050,The storage controller shall flush critical status fields when bandwidth is limited.,Telemetry,Telemetry and Logging
UAV-00051,The altitude limiter shall raise a breach alert near a no-fly zone.,Geofence,Geofencing and Airspace
UAV-00052,The navigation filter shall compute the tracked satellite count across the flight envelope.,Navigation,Position Estimation
